Carrier,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Biofuels,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5
Electricity,5.5,5.699,5.896,6.091,6.284,6.476,6.665,6.852,7.038,7.221,7.403,7.853,8.292,8.72,9.137,9.544,9.94,10.327,10.704,11.071,11.43,11.779,12.12,12.452,12.776,13.091,13.399,13.699,13.992,14.277,14.556
Heat - space,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64
Heat - water,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
Coal and coal products - electrifiable,15.0,14.85,14.702,14.554,14.409,14.265,14.122,13.981,13.841,13.703,13.566,13.227,12.896,12.574,12.259,11.953,11.654,11.363,11.078,10.802,10.531,10.268,10.011,9.761,9.517,9.279,9.047,8.821,8.601,8.386,8.176
Natural gas - electrifiable,0.95,0.94,0.931,0.922,0.913,0.903,0.894,0.885,0.877,0.868,0.859,0.838,0.817,0.796,0.776,0.757,0.738,0.72,0.702,0.684,0.667,0.65,0.634,0.618,0.603,0.588,0.573,0.559,0.545,0.531,0.518
Oil and petroleum products - electrifiable,50.4,49.896,49.397,48.903,48.414,47.93,47.451,46.976,46.506,46.041,45.581,44.441,43.33,42.247,41.191,40.161,39.157,38.178,37.224,36.293,35.386,34.501,33.639,32.798,31.978,31.178,30.399,29.639,28.898,28.175,27.471
Coal and coal products - hydrogenizable,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,14.962,14.925,14.888,14.851,14.813,14.776,14.739,14.703,14.666,14.629,14.483,14.338,14.195,14.053,13.912,13.773,13.635,13.499,13.364,13.23
Natural gas - hydrogenizable,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.948,0.945,0.943,0.941,0.938,0.936,0.933,0.931,0.929,0.927,0.917,0.908,0.899,0.89,0.881,0.872,0.864,0.855,0.846,0.838
Oil and petroleum products - hydrogenizable,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.274,50.148,50.023,49.898,49.773,49.649,49.525,49.401,49.277,49.154,48.663,48.176,47.694,47.217,46.745,46.278,45.815,45.357,44.903,44.454
